shape_area,bbl,shape_len,doitt_id,bin
1088.30406703335,1019420056,188.81265930237,29281,1058979
2153.41374693299,1020810029,239.00168060278,156680,1062098
888.22880287218,1020730046,162.5023815137,566170,1061810
1608.78844010766,1020440010,178.97978339898,413918,1060772
1172.11484862673,1018840056,174.14766621882,135952,1057011
1294.11512443124,1019470019,193.51060905374,196704,1059140
1016.68779272799,1019480106,156.25515902832,750724,1059219
1207.56465066101,1020500136,147.59338725611,114253,1061003
1298.36403787958,1019470047,176.49447426793,283763,1059148
4087.92713335334,1020590044,286.39409372628,677467,1061312
3806.99475345708,1019660059,386.73668406194,11231,1085354
4967.60512532197,1019820063,343.99732487875,552664,1059712
1210.88978646211,1020610045,162.9240334121,756483,1061409
1937.06647538534,1019440024,218.89863003163,447127,1083303
1483.61777303456,1020610135,199.23543429258,384684,1061427
2553.11517705458,1019870033,262.12717544013,352862,1059740
3592.58327217673,1019580035,347.50546121221,68025,1075475
551.1437186305,1020620018,96.79628199228,608023,1079824
1072.97951828667,1019320009,145.0868610431,585057,1058670
934.81956622345,1019490060,151.06817481202,584048,1059254
905.98259271001,1020820027,157.72590437939,430449,1062154
3749.42899895861,1018280063,249.17326046591,1160909,1089093
1131.53516867167,1020590042,151.42921084018,172684,1061310
1860.68306172192,1019410010,237.15218457482,737951,1058876
959.16968857866,1019400131,154.61119338241,12771,1058863
791.65490322522,1018490035,119.44042179559,495409,1055877
824.72835775874,1019280049,156.32066316658,668725,1088880
921.56745267217,1020410039,139.30908676885,327497,1060660
1015.49051511387,1020230124,165.397127521,6414,1060252
1124.56329655467,1020610034,168.84667621032,725051,1061398
9073.48503227143,1019540011,613.09536857605,681372,1059373
1123.67884232879,1020840047,149.46966480541,784002,1062243
3180.92313251254,1019240021,231.35770597186,43432,1081330
2443.46434127682,1018460060,238.72199858847,773119,1055778
1023.16791277467,1020240105,163.93389394809,746988,1060323
1043.68572963305,1018280058,160.17992684353,56146,1055124
2373.45813529299,1020250041,245.3798385112,806973,1060375
